itemcode;itemname;building;location;detail_location;position;detail_counted;counted_by;codebars;onhand;counted;colisage_vente;colisage_achat;pcb_pal;pu_ht;comments;dluo
722130;PAILLE COULEUR FLEXIBLE NON EMBALLEE (x200/pqt);sis2;entree;roll1-4;0;42;Johann;722130;2350;42;1;50;1;1.56;;
621019;PAILLE NOIRE x 250 FLEXIBLE EMBALLEE IND.;sis2;entree;roll1-4;1;165;Johann;621019;6;165;1;40;1;1.95;;
626074;PORTE-GOBELETS POUR 2 GOB. x 100;sis2;entree;roll1-4;2;21;Jules;8420499192222;155;21;1;6;20;10.79;;
154048;AIL SEMOULE SACHET 1000 GR ESPIG;sis2;entree;roll1-4;4;9;Johann;3102870000900;777.8;9;1;10;1;8.99;;
153003;AIL FRIT 1 KG;sis2;entree;roll1-4;5;7;Johann;6909146070592;3;7;1;12;1;5.25;;
062070;BEIGNET CHIPS CREVETTE  1 KG PSP;sis2;entree;roll1-4;10;3;Johann;3379141800457;265;3;1;12;1;4.69;;
062185;FARINE SHUI KAO BLUETWIN SPOONS 1KG;sis2;entree;roll1-4;12;0;Johann;6920241590105;11;0;1;10;1;3.99;;
153034;GRAINE SESAME BLANC 227 GR;sis2;entree;roll1-4;17;12;Johann;3379140103795;33;12;1;50;1;1.45;;
055038;AMANDES DECORTIQUEES 125GR;sis2;entree;roll1-4;21;3;Johann;3102870046113;103;3;1;10;1;3.25;;
055039;AMANDES EMONDEES 125GR;sis2;entree;roll1-4;22;26;Johann;3102870046021;415;26;1;10;1;5.5;;
026093;DAKATINE pot verre 500gr;sis2;entree;roll1-4;25;10;Johann;3051106605016;1088;10;12;6;1;3.9;;
820010;RIZ JAPONAIS 1 KG SHINODE;sis2;entree;roll1-4;28;17;Johann;8005734100059;154;17;1;10;1;2.55;;
115161;SAUCE HUITRE 730 GR JIA;sis2;11a;1-3;1;52;Johann;3379140183629;331;52;1;12;1;2.5;;
115172;SAUCE BEAN (SAUCE HARICOT) 13 OZ KOON CHUN (370grs);sis2;11a;1-3;2;20;Johann;20717200159;506;44;1;24;1;1.79;;
